Age,Height,Weight,Chest,Size
26,155.8,51.1,79.4,XXS
22,164.9,59.1,84.5,XS
23,173.0,67.1,88.0,XS
19,152.7,52.2,84.3,XS
29,167.0,56.5,83.8,XXS
24,158.3,77.4,107.7,L
26,164.3,73.0,96.3,M
24,171.7,66.9,101.2,M
28,162.3,71.8,100.0,M
23,163.0,59.4,86.0,XS
25,171.0,68.0,92.5,S
24,173.0,77.9,100.2,M
26,172.5,69.5,96.0,M
26,168.0,75.5,95.7,M
31,168.2,64.5,92.2,S
26,168.0,84.3,115.7,XL
24,182.9,68.8,91.5,S
22,167.5,64.3,88.5,XS
23,172.7,68.9,104.0,L
45,161.5,65.1,100.3,M
26,149.7,46.0,83.7,XXS
28,161.3,61.0,87.1,XS
36,177.1,92.5,111.5,L
25,158.8,66.6,92.4,S
32,173.6,82.1,99.7,M
24,166.4,59.1,87.0,XS
25,158.4,72.2,102.5,L
28,171.2,77.0,100.6,M
29,165.8,61.7,87.6,XS
36,164.6,68.5,93.3,S
44,172.3,68.9,96.6,M
33,157.8,58.7,90.0,S
28,167.1,74.2,104.0,L
45,158.0,82.0,104.5,L
37,158.4,55.7,92.5,S
38,167.0,64.8,97.5,M
24,158.5,56.6,91.0,S
22,163.8,58.4,95.2,M
40,158.9,59.9,90.7,S
38,165.9,78.5,108.9,L
25,155.0,65.4,94.3,S
48,173.0,83.8,104.7,L
40,150.0,64.4,102.7,L
32,161.5,80.9,103.8,L
39,164.5,67.7,90.6,S
29,172.7,84.7,109.5,L
30,166.7,78.1,103.2,L
28,151.9,55.2,98.1,M
42,170.0,83.2,111.3,L
28,162.8,69.4,86.0,XS
28,160.0,78.6,106.8,L
28,174.7,85.1,102.5,L
41,158.3,67.8,92.5,S
35,166.2,64.5,92.7,S
26,169.7,61.8,87.3,XS
26,173.2,84.3,94.8,S
27,164.7,79.3,98.2,M
26,158.9,72.7,102.9,L
26,154.5,64.5,96.5,M
41,165.9,75.5,102.8,L
34,152.2,55.5,89.1,XS
35,165.1,77.9,99.7,M
31,176.7,76.3,101.6,M
27,160.8,78.5,100.8,M
37,160.5,71.7,99.7,M
27,173.4,67.4,90.2,S
37,166.1,73.0,97.2,M
53,158.9,75.4,96.0,M
27,174.1,77.6,91.2,S
27,167.0,81.0,107.9,L
27,168.0,66.7,86.5,XS
26,173.6,79.1,95.7,M
28,168.2,76.3,99.0,M
29,171.4,65.0,93.6,S
44,154.6,51.3,85.6,XS
27,163.4,59.1,91.7,S
29,156.8,65.8,93.0,S
31,153.6,50.4,87.6,XS
30,158.4,68.5,96.2,M
37,164.6,62.9,88.2,XS
31,166.4,56.8,89.1,XS
26,165.8,66.1,90.2,S
35,173.8,68.3,91.0,S
26,174.5,79.1,92.3,S
33,159.5,90.7,107.2,L
35,162.5,78.3,98.7,M
34,162.3,70.9,96.7,M
26,151.8,50.9,84.1,XS
31,152.5,62.3,100.8,M
24,155.7,66.4,91.9,S
41,173.0,92.1,109.3,L
35,160.1,67.1,98.3,M
45,159.7,54.7,83.9,XXS
27,174.3,78.4,102.7,L
26,168.3,59.0,92.5,S
32,175.2,76.3,101.5,M
33,161.8,70.9,96.7,M
26,162.0,70.3,101.8,M
29,164.9,58.1,86.2,XS
35,170.9,59.3,84.6,XS
40,158.7,75.3,104.4,L
34,163.2,66.2,91.7,S
40,152.7,68.3,105.7,L
32,166.0,75.8,103.4,L
23,163.2,61.3,86.4,XS
30,174.2,73.0,94.2,S
30,170.9,70.0,88.5,XS
35,161.9,75.1,104.8,L
38,167.5,73.8,99.6,M
41,163.4,64.2,98.8,M
25,167.9,59.5,89.2,XS
22,161.4,56.9,84.8,XS
25,168.4,59.6,86.1,XS
39,159.7,63.1,93.7,S
25,161.0,58.9,85.5,XS
33,168.8,74.6,94.3,S
31,172.5,86.4,99.7,M
31,160.9,60.8,93.6,S
27,158.5,50.4,81.0,XXS
25,156.2,54.9,88.7,XS
38,154.7,53.0,89.7,XS
20,161.1,69.2,96.1,M
42,174.0,71.3,100.4,M
31,155.5,70.5,97.2,M
33,165.0,69.9,97.1,M
26,158.3,65.9,91.3,S
20,164.7,63.2,85.8,XS
20,153.2,69.6,94.6,S
23,161.9,59.3,92.0,S
25,170.4,69.5,90.2,S
25,168.9,79.7,97.0,M
25,165.7,61.9,91.1,S
23,164.7,67.7,92.6,S
29,167.0,54.4,89.2,XS
38,149.6,64.6,97.1,M
32,171.7,88.2,111.7,L
26,153.1,63.4,94.3,S
28,166.6,76.5,98.1,M
28,157.4,65.4,89.2,XS
31,166.3,83.7,100.0,M
26,161.7,65.2,97.5,M
36,158.5,62.4,100.5,M
35,164.7,99.4,119.5,XL
19,164.3,74.8,101.6,M
24,167.7,64.9,90.1,S
22,167.0,54.2,88.9,XS
21,165.1,81.4,98.3,M
20,152.5,56.3,88.3,XS
29,171.5,96.7,115.2,XL
31,160.2,83.7,114.8,XL
24,157.0,50.2,85.5,XS
23,166.2,65.7,90.1,S
21,156.1,70.7,98.3,M
22,154.3,66.9,96.8,M
21,156.2,59.7,92.3,S
21,162.7,72.0,89.7,XS
19,167.8,75.0,94.0,S
28,160.8,67.3,99.0,M
26,167.2,78.4,90.6,S
39,166.1,51.6,76.9,XXS
24,157.4,63.0,101.0,M
38,167.0,79.3,104.6,L
45,158.5,56.4,89.5,XS
23,157.4,68.7,99.7,M
38,161.7,59.0,84.6,XS
24,159.2,60.3,90.4,S
41,170.5,69.9,99.1,M
30,162.0,57.3,87.8,XS
31,157.9,65.4,95.7,M
33,166.1,60.3,87.6,XS
34,159.5,77.1,95.5,M
31,164.6,76.7,106.2,L
33,152.2,66.7,93.2,S
28,176.0,78.3,92.8,S
27,150.5,51.8,85.0,XS
27,170.8,66.3,83.8,XXS
26,165.9,65.5,93.8,S
33,161.3,69.0,100.4,M
24,166.6,68.0,90.5,S
24,156.5,60.9,91.8,S
28,157.8,64.6,85.9,XS
20,148.0,54.0,88.0,XS
29,163.6,53.0,82.9,XXS
24,160.8,78.9,94.5,S
23,155.2,43.1,82.5,XXS
21,155.9,74.6,98.5,M
38,159.5,71.2,99.8,M
19,167.4,72.7,101.6,M
18,166.1,61.3,84.5,XS
35,155.0,57.4,87.8,XS
25,159.7,65.5,90.2,S
18,154.3,57.7,88.4,XS
21,163.6,58.5,83.7,XXS
21,156.3,62.7,92.3,S
31,150.6,53.5,90.5,S
20,168.9,65.2,85.1,XS
35,160.0,70.2,99.2,M
26,182.7,93.1,102.1,L
19,159.4,53.2,82.4,XXS
22,176.8,73.5,97.4,M
25,165.8,55.7,78.3,XXS
25,162.9,65.5,94.5,S
28,167.2,69.1,97.5,M
21,178.3,96.5,101.3,M
19,157.1,70.2,97.0,M
19,152.5,52.3,83.8,XXS
41,159.5,66.0,92.3,S
20,170.8,81.4,100.9,M
33,181.8,95.2,102.9,L
20,168.8,65.8,83.2,XXS
23,156.8,50.3,78.2,XXS
27,155.5,54.7,88.5,XS
26,164.5,68.8,98.8,M
36,163.1,60.4,83.3,XXS
56,156.3,66.9,91.9,S
29,156.6,59.9,92.6,S
28,158.5,61.6,87.0,XS
33,151.8,54.8,87.2,XS
22,159.0,60.4,83.8,XXS
31,146.2,51.9,84.5,XS
22,159.9,64.0,93.0,S
25,166.5,66.9,84.5,XS
28,171.2,79.1,100.7,M
18,163.4,59.8,90.8,S
27,162.8,73.6,97.5,M
44,162.5,82.5,108.0,L
